,categories
4905,"[{'alias': 'lounges', 'title': 'Lounges'}]"
4921,"[{'alias': 'burgers', 'title': 'Burgers'}]"
4931,"[{'alias': 'french', 'title': 'French'}]"
4932,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]"
4942,"[{'alias': 'parks', 'title': 'Parks'}, {'alias': 'playgrounds', 'title': 'Playgrounds'}]"
4943,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}]"
4955,"[{'alias': 'musicvenues', 'title': 'Music Venues'}, {'alias': 'bars', 'title': 'Bars'}]"
4958,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]"
4975,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]"
4976,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
4977,"[{'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]"
4979,"[{'alias': 'italian', 'title': 'Italian'}]"
4983,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
4995,"[{'alias': 'newcanadian', 'title': 'Canadian (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
5004,"[{'alias': 'italian', 'title': 'Italian'}]"
5008,"[{'alias': 'soup', 'title': 'Soup'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'salad', 'title': 'Salad'}]"
5071,"[{'alias': 'mexican', 'title': 'Mexican'}]"
5113,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'creperies', 'title': 'Creperies'}]"
5119,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
5128,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]"
5135,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
5137,"[{'alias': 'bars', 'title': 'Bars'}]"
5141,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
5158,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
5159,"[{'alias': 'thai', 'title': 'Thai'}]"
5162,"[{'alias': 'sushi', 'title': 'Sushi Bars'}]"
5185,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'korean', 'title': 'Korean'}]"
5211,"[{'alias': 'sushi', 'title': 'Sushi Bars'}]"
5223,"[{'alias': 'korean', 'title': 'Korean'}]"
5251,"[{'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'raw_food', 'title': 'Live/Raw Food'}, {'alias': 'healthmarkets', 'title': 'Health Markets'}]"
5281,"[{'alias': 'chinese', 'title': 'Chinese'}]"
5291,"[{'alias': 'greek', 'title': 'Greek'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'seafood', 'title': 'Seafood'}]"
5363,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'newcanadian', 'title': 'Canadian (New)'}]"
5372,"[{'alias': 'cafes', 'title': 'Cafes'}]"
5407,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]"
5433,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}]"
5456,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]"
5469,"[{'alias': 'newcanadian', 'title': 'Canadian (New)'}]"
5500,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
5506,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'newcanadian', 'title': 'Canadian (New)'}]"
5507,"[{'alias': 'newcanadian', 'title': 'Canadian (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
5509,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'creperies', 'title': 'Creperies'}]"
5524,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]"
5525,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}]"
5528,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
5548,"[{'alias': 'greek', 'title': 'Greek'}]"
5554,"[{'alias': 'greek', 'title': 'Greek'}]"
5555,"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'bagels', 'title': 'Bagels'}]"
5556,"[{'alias': 'ramen', 'title': 'Ramen'}]"
5565,"[{'alias': 'pizza', 'title': 'Pizza'}]"
5574,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
5577,"[{'alias': 'irish_pubs', 'title': 'Irish Pub'}]"
5608,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}]"
5609,"[{'alias': 'sushi', 'title': 'Sushi Bars'}]"
5614,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
5624,"[{'alias': 'bbq', 'title': 'Barbeque'}]"
5630,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'newcanadian', 'title': 'Canadian (New)'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]"
5639,"[{'alias': 'vegetarian', 'title': 'Vegetarian'}]"
5664,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]"
5669,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}]"
5675,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}]"
5677,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]"
5685,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}]"
5687,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'lounges', 'title': 'Lounges'}]"
5690,"[{'alias': 'fishnchips', 'title': 'Fish & Chips'}]"
5691,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'seafood', 'title': 'Seafood'}]"
5704,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'cambodian', 'title': 'Cambodian'}]"
5710,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'mexican', 'title': 'Mexican'}]"
5712,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
5716,"[{'alias': 'sushi', 'title': 'Sushi Bars'}]"
5719,"[{'alias': 'italian', 'title': 'Italian'}]"
5723,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'noodles', 'title': 'Noodles'}]"
5726,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
5727,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
5729,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}]"
5731,"[{'alias': 'italian', 'title': 'Italian'}]"
5737,"[{'alias': 'steak', 'title': 'Steakhouses'}]"
5744,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'lounges', 'title': 'Lounges'}]"
5747,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'tapas', 'title': 'Tapas Bars'}]"
5766,"[{'alias': 'ramen', 'title': 'Ramen'}]"
5774,"[{'alias': 'italian', 'title': 'Italian'}]"
5791,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
5820,"[{'alias': 'chinese', 'title': 'Chinese'}]"
5835,"[{'alias': 'chinese', 'title': 'Chinese'}]"
5837,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]"
5839,"[{'alias': 'russian', 'title': 'Russian'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'cafes', 'title': 'Cafes'}]"
5857,"[{'alias': 'caribbean', 'title': 'Caribbean'}]"
5859,"[{'alias': 'dimsum', 'title': 'Dim Sum'}]"
5874,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'diners', 'title': 'Diners'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
5880,"[{'alias': 'karaoke', 'title': 'Karaoke'}, {'alias': 'lounges', 'title': 'Lounges'}]"
5887,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'japanese', 'title': 'Japanese'}]"
5888,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
5891,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'bars', 'title': 'Bars'}]"
5907,"[{'alias': 'chinese', 'title': 'Chinese'}]"
5920,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]"
5927,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}]"
5933,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'malaysian', 'title': 'Malaysian'}]"
5943,"[{'alias': 'caribbean', 'title': 'Caribbean'}]"
5953,"[{'alias': 'salad', 'title': 'Salad'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
5960,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}, {'alias': 'chinese', 'title': 'Chinese'}]"
5968,"[{'alias': 'chinese', 'title': 'Chinese'}]"
5999,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'pubs', 'title': 'Pubs'}]"
6004,"[{'alias': 'yelpevents', 'title': 'Yelp Events'}]"
6005,"[{'alias': 'chinese', 'title': 'Chinese'}]"
6009,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
6012,"[{'alias': 'seafood', 'title': 'Seafood'}]"
6022,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
6024,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]"
6025,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]"
6028,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
6037,"[{'alias': 'japanese', 'title': 'Japanese'}]"
6051,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'fishnchips', 'title': 'Fish & Chips'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]"
6052,"[{'alias': 'sushi', 'title': 'Sushi Bars'}]"
6069,"[{'alias': 'parks', 'title': 'Parks'}]"
6077,"[{'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'indpak', 'title': 'Indian'}]"
6159,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'chinese', 'title': 'Chinese'}]"
6168,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]"
6178,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]"
6415,"[{'alias': 'skatingrinks', 'title': 'Skating Rinks'}, {'alias': 'skate_parks', 'title': 'Skate Parks'}]"
6435,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'latin', 'title': 'Latin American'}, {'alias': 'bars', 'title': 'Bars'}]"
6439,"[{'alias': 'tex-mex', 'title': 'Tex-Mex'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'burgers', 'title': 'Burgers'}]"
6446,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'caribbean', 'title': 'Caribbean'}]"
6452,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'halal', 'title': 'Halal'}]"
6488,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
6508,"[{'alias': 'cafes', 'title': 'Cafes'}]"
6584,"[{'alias': 'waffles', 'title': 'Waffles'}]"
6601,"[{'alias': 'korean', 'title': 'Korean'}]"
6718,"[{'alias': 'caribbean', 'title': 'Caribbean'}]"
6719,"[{'alias': 'chinese', 'title': 'Chinese'}]"
6724,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'japanese', 'title': 'Japanese'}]"
6728,"[{'alias': 'danceclubs', 'title': 'Dance Clubs'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]"
6733,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'taiwanese', 'title': 'Taiwanese'}]"
6744,"[{'alias': 'peruvian', 'title': 'Peruvian'}]"
6750,"[{'alias': 'newcanadian', 'title': 'Canadian (New)'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]"
6751,"[{'alias': 'mexican', 'title': 'Mexican'}]"
6752,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}]"
6754,"[{'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'chinese', 'title': 'Chinese'}]"
6756,"[{'alias': 'gardens', 'title': 'Botanical Gardens'}, {'alias': 'parks', 'title': 'Parks'}]"
6758,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'modern_european', 'title': 'Modern European'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
6760,"[{'alias': 'indpak', 'title': 'Indian'}]"
6764,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
6767,"[{'alias': 'korean', 'title': 'Korean'}]"
6775,"[{'alias': 'airportlounges', 'title': 'Airport Lounges'}]"
6778,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'cafes', 'title': 'Cafes'}]"
6781,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
6783,"[{'alias': 'newcanadian', 'title': 'Canadian (New)'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'burgers', 'title': 'Burgers'}]"
6787,"[{'alias': 'danceclubs', 'title': 'Dance Clubs'}, {'alias': 'bars', 'title': 'Bars'}]"
