,categories
1140,"[{'alias': 'thai', 'title': 'Thai'}]"
1173,"[{'alias': 'pubs', 'title': 'Pubs'}]"
1190,"[{'alias': 'japanese', 'title': 'Japanese'}]"
1201,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
1211,"[{'alias': 'portuguese', 'title': 'Portuguese'}, {'alias': 'convenience', 'title': 'Convenience Stores'}]"
1222,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'italian', 'title': 'Italian'}]"
1233,"[{'alias': 'argentine', 'title': 'Argentine'}]"
1244,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]"
1254,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'newcanadian', 'title': 'Canadian (New)'}]"
1265,"[{'alias': 'cafes', 'title': 'Cafes'}]"
1273,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}]"
1274,"[{'alias': 'mexican', 'title': 'Mexican'}]"
1284,"[{'alias': 'bars', 'title': 'Bars'}]"
1336,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'turkish', 'title': 'Turkish'}]"
1403,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]"
1513,"[{'alias': 'diners', 'title': 'Diners'}]"
1616,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
1722,"[{'alias': 'parks', 'title': 'Parks'}]"
1775,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}]"
1776,"[{'alias': 'french', 'title': 'French'}]"
1829,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'karaoke', 'title': 'Karaoke'}, {'alias': 'musicvenues', 'title': 'Music Venues'}]"
1880,"[{'alias': 'diners', 'title': 'Diners'}]"
1916,"[{'alias': 'parks', 'title': 'Parks'}, {'alias': 'playgrounds', 'title': 'Playgrounds'}]"
1941,"[{'alias': 'mexican', 'title': 'Mexican'}]"
1972,"[{'alias': 'hotdogs', 'title': 'Fast Food'}]"
2073,"[{'alias': 'lounges', 'title': 'Lounges'}]"
2074,"[{'alias': 'indpak', 'title': 'Indian'}]"
2259,"[{'alias': 'chinese', 'title': 'Chinese'}]"
2301,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bagels', 'title': 'Bagels'}]"
2322,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
2323,"[{'alias': 'sushi', 'title': 'Sushi Bars'}]"
2331,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
2351,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
2371,"[{'alias': 'mexican', 'title': 'Mexican'}]"
2376,"[{'alias': 'pizza', 'title': 'Pizza'}]"
2381,"[{'alias': 'modern_european', 'title': 'Modern European'}]"
2386,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'diners', 'title': 'Diners'}, {'alias': 'greek', 'title': 'Greek'}]"
2389,"[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'desserts', 'title': 'Desserts'}]"
2390,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'importedfood', 'title': 'Imported Food'}]"
2405,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
2418,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
2467,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
2482,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]"
2489,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
2496,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'diners', 'title': 'Diners'}]"
2503,"[{'alias': 'parks', 'title': 'Parks'}]"
2511,"[{'alias': 'filipino', 'title': 'Filipino'}]"
2512,"[{'alias': 'polish', 'title': 'Polish'}]"
2520,"[{'alias': 'african', 'title': 'African'}]"
2534,"[{'alias': 'syrian', 'title': 'Syrian'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'arabian', 'title': 'Arabian'}]"
2578,"[{'alias': 'newcanadian', 'title': 'Canadian (New)'}]"
2591,"[{'alias': 'chinese', 'title': 'Chinese'}]"
2606,"[{'alias': 'gourmet', 'title': 'Specialty Food'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]"
2622,"[{'alias': 'parks', 'title': 'Parks'}]"
2639,"[{'alias': 'italian', 'title': 'Italian'}]"
2664,"[{'alias': 'parks', 'title': 'Parks'}]"
2665,"[{'alias': 'parks', 'title': 'Parks'}]"
2703,"[{'alias': 'restaurants', 'title': 'Restaurants'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]"
2734,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'modern_european', 'title': 'Modern European'}, {'alias': 'newcanadian', 'title': 'Canadian (New)'}]"
2767,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'delis', 'title': 'Delis'}]"
2832,"[{'alias': 'italian', 'title': 'Italian'}]"
2839,"[{'alias': 'airportlounges', 'title': 'Airport Lounges'}]"
2847,"[{'alias': 'donairs', 'title': 'Donairs'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'turkish', 'title': 'Turkish'}]"
2855,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'creperies', 'title': 'Creperies'}]"
2860,"[{'alias': 'pakistani', 'title': 'Pakistani'}, {'alias': 'halal', 'title': 'Halal'}, {'alias': 'indpak', 'title': 'Indian'}]"
2867,"[{'alias': 'indpak', 'title': 'Indian'}]"
2868,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'soup', 'title': 'Soup'}]"
2894,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}]"
2921,"[{'alias': 'parks', 'title': 'Parks'}, {'alias': 'skatingrinks', 'title': 'Skating Rinks'}, {'alias': 'tennis', 'title': 'Tennis'}]"
2965,"[{'alias': 'thai', 'title': 'Thai'}]"
2976,"[{'alias': 'caribbean', 'title': 'Caribbean'}]"
2987,"[{'alias': 'latin', 'title': 'Latin American'}]"
2988,"[{'alias': 'parks', 'title': 'Parks'}]"
2999,"[{'alias': 'pakistani', 'title': 'Pakistani'}, {'alias': 'indpak', 'title': 'Indian'}]"
3010,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'caribbean', 'title': 'Caribbean'}]"
3021,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'srilankan', 'title': 'Sri Lankan'}]"
3032,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]"
3043,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]"
3054,"[{'alias': 'pizza', 'title': 'Pizza'}]"
3065,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
3102,"[{'alias': 'mexican', 'title': 'Mexican'}]"
3158,"[{'alias': 'cafes', 'title': 'Cafes'}]"
3163,"[{'alias': 'karaoke', 'title': 'Karaoke'}, {'alias': 'pubs', 'title': 'Pubs'}]"
3179,"[{'alias': 'localflavor', 'title': 'Local Flavor'}, {'alias': 'museums', 'title': 'Museums'}]"
3195,"[{'alias': 'pizza', 'title': 'Pizza'}]"
3210,"[{'alias': 'newcanadian', 'title': 'Canadian (New)'}]"
3218,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'salad', 'title': 'Salad'}]"
3237,"[{'alias': 'foodstands', 'title': 'Food Stands'}]"
3273,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'seafood', 'title': 'Seafood'}]"
3312,"[{'alias': 'italian', 'title': 'Italian'}]"
3355,"[{'alias': 'indpak', 'title': 'Indian'}]"
3452,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'newcanadian', 'title': 'Canadian (New)'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]"
3456,"[{'alias': 'chinese', 'title': 'Chinese'}]"
3458,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'cafes', 'title': 'Cafes'}]"
3460,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}]"
3462,"[{'alias': 'chinese', 'title': 'Chinese'}]"
3463,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]"
3464,"[{'alias': 'chinese', 'title': 'Chinese'}]"
3466,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}]"
3468,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'fishnchips', 'title': 'Fish & Chips'}]"
3475,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'chinese', 'title': 'Chinese'}]"
3476,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
3481,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'halal', 'title': 'Halal'}]"
3482,"[{'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
3488,"[{'alias': 'portuguese', 'title': 'Portuguese'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}]"
3490,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'greek', 'title': 'Greek'}]"
3496,"[{'alias': 'chinese', 'title': 'Chinese'}]"
3500,"[{'alias': 'french', 'title': 'French'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]"
3501,"[{'alias': 'halal', 'title': 'Halal'}, {'alias': 'caribbean', 'title': 'Caribbean'}]"
3510,"[{'alias': 'filipino', 'title': 'Filipino'}]"
3513,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}]"
3518,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'pakistani', 'title': 'Pakistani'}]"
3519,"[{'alias': 'chinese', 'title': 'Chinese'}]"
3523,"[{'alias': 'catering', 'title': 'Caterers'}, {'alias': 'indpak', 'title': 'Indian'}]"
3527,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'bakeries', 'title': 'Bakeries'}]"
3530,"[{'alias': 'dimsum', 'title': 'Dim Sum'}]"
3531,"[{'alias': 'mexican', 'title': 'Mexican'}]"
3532,"[{'alias': 'burgers', 'title': 'Burgers'}]"
3615,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
3720,"[{'alias': 'korean', 'title': 'Korean'}]"
3722,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]"
3723,"[{'alias': 'caribbean', 'title': 'Caribbean'}]"
3737,"[{'alias': 'catering', 'title': 'Caterers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'italian', 'title': 'Italian'}]"
3740,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
3750,"[{'alias': 'british', 'title': 'British'}, {'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]"
3752,"[{'alias': 'indpak', 'title': 'Indian'}]"
3755,"[{'alias': 'fishnchips', 'title': 'Fish & Chips'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'cheesesteaks', 'title': 'Cheesesteaks'}]"
3767,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}]"
3768,"[{'alias': 'hotdogs', 'title': 'Fast Food'}]"
3781,"[{'alias': 'diners', 'title': 'Diners'}]"
3784,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'burgers', 'title': 'Burgers'}]"
3790,"[{'alias': 'indpak', 'title': 'Indian'}]"
3803,"[{'alias': 'tex-mex', 'title': 'Tex-Mex'}]"
3857,"[{'alias': 'gourmet', 'title': 'Specialty Food'}, {'alias': 'turkish', 'title': 'Turkish'}]"
3942,"[{'alias': 'cafes', 'title': 'Cafes'}]"
3943,"[{'alias': 'caribbean', 'title': 'Caribbean'}]"
4026,"[{'alias': 'hotdog', 'title': 'Hot Dogs'}, {'alias': 'burgers', 'title': 'Burgers'}]"
4126,"[{'alias': 'thai', 'title': 'Thai'}]"
4213,"[{'alias': 'thai', 'title': 'Thai'}]"
4283,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
4571,"[{'alias': 'italian', 'title': 'Italian'}]"
4628,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
4697,"[{'alias': 'newcanadian', 'title': 'Canadian (New)'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'burgers', 'title': 'Burgers'}]"
4698,"[{'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
4707,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
4710,"[{'alias': 'italian', 'title': 'Italian'}]"
4713,"[{'alias': 'seafood', 'title': 'Seafood'}]"
4721,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]"
4729,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'pakistani', 'title': 'Pakistani'}]"
4734,"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'burgers', 'title': 'Burgers'}]"
4735,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
4758,"[{'alias': 'restaurants', 'title': 'Restaurants'}]"
4769,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]"
4791,"[{'alias': 'chinese', 'title': 'Chinese'}]"
4822,"[{'alias': 'chinese', 'title': 'Chinese'}]"
4846,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'diners', 'title': 'Diners'}]"
4890,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'japanese', 'title': 'Japanese'}]"
4900,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]"
4928,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
4939,"[{'alias': 'dimsum', 'title': 'Dim Sum'}]"
4949,"[{'alias': 'chinese', 'title': 'Chinese'}]"
4950,"[{'alias': 'greek', 'title': 'Greek'}]"
4981,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'creperies', 'title': 'Creperies'}]"
4989,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'food', 'title': 'Food'}]"
5094,"[{'alias': 'japanese', 'title': 'Japanese'}]"
5115,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]"
5126,"[{'alias': 'mexican', 'title': 'Mexican'}]"
5127,"[{'alias': 'burgers', 'title': 'Burgers'}]"
5157,"[{'alias': 'japanese', 'title': 'Japanese'}]"
5168,"[{'alias': 'italian', 'title': 'Italian'}]"
5177,"[{'alias': 'portuguese', 'title': 'Portuguese'}]"
5188,"[{'alias': 'newcanadian', 'title': 'Canadian (New)'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'vegan', 'title': 'Vegan'}]"
5198,"[{'alias': 'japanese', 'title': 'Japanese'}]"
5240,"[{'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'lounges', 'title': 'Lounges'}]"
5241,"[{'alias': 'italian', 'title': 'Italian'}]"
5277,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}]"
5338,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'desserts', 'title': 'Desserts'}]"
5406,"[{'alias': 'hotdog', 'title': 'Hot Dogs'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'poutineries', 'title': 'Poutineries'}]"
5458,"[{'alias': 'burgers', 'title': 'Burgers'}]"
5510,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'donuts', 'title': 'Donuts'}]"
5520,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
5521,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}]"
5522,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'salad', 'title': 'Salad'}]"
5532,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}, {'alias': 'burgers', 'title': 'Burgers'}]"
5541,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'spanish', 'title': 'Spanish'}]"
5562,"[{'alias': 'cambodian', 'title': 'Cambodian'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
5571,"[{'alias': 'restaurants', 'title': 'Restaurants'}]"
5591,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'creperies', 'title': 'Creperies'}, {'alias': 'cafes', 'title': 'Cafes'}]"
5600,"[{'alias': 'greek', 'title': 'Greek'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]"
5620,"[{'alias': 'indpak', 'title': 'Indian'}]"
5621,"[{'alias': 'pizza', 'title': 'Pizza'}]"
5643,"[{'alias': 'foodstands', 'title': 'Food Stands'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]"
5661,"[{'alias': 'thai', 'title': 'Thai'}]"
5686,"[{'alias': 'delis', 'title': 'Delis'}]"
5696,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'newcanadian', 'title': 'Canadian (New)'}]"
5735,"[{'alias': 'vegetarian', 'title': 'Vegetarian'}]"
5736,"[{'alias': 'french', 'title': 'French'}, {'alias': 'cafes', 'title': 'Cafes'}]"
5746,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}]"
5756,"[{'alias': 'italian', 'title': 'Italian'}]"
5787,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]"
5808,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'vegan', 'title': 'Vegan'}]"
5838,"[{'alias': 'pubs', 'title': 'Pubs'}]"
5849,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
5869,"[{'alias': 'bubbletea', 'title': 'Bubble Tea'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]"
5890,"[{'alias': 'pizza', 'title': 'Pizza'}]"
5912,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
6000,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
6010,"[{'alias': 'pizza', 'title': 'Pizza'}]"
6021,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
6032,"[{'alias': 'chinese', 'title': 'Chinese'}]"
6041,"[{'alias': 'italian', 'title': 'Italian'}]"
6066,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pubs', 'title': 'Pubs'}]"
6076,"[{'alias': 'japanese', 'title': 'Japanese'}]"
6098,"[{'alias': 'italian', 'title': 'Italian'}]"
6099,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
6108,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'salad', 'title': 'Salad'}]"
6116,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}]"
6122,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'italian', 'title': 'Italian'}]"
6128,"[{'alias': 'bistros', 'title': 'Bistros'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
6143,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}]"
6148,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
6167,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
6192,"[{'alias': 'french', 'title': 'French'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]"
6218,"[{'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}, {'alias': 'salad', 'title': 'Salad'}]"
6231,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
6251,"[{'alias': 'bars', 'title': 'Bars'}]"
6291,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
6319,"[{'alias': 'dog_parks', 'title': 'Dog Parks'}]"
6385,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]"
6390,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
6395,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}]"
6427,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]"
6451,"[{'alias': 'international', 'title': 'International'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'musicvenues', 'title': 'Music Venues'}]"
6457,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
6462,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'chinese', 'title': 'Chinese'}]"
6475,"[{'alias': 'lounges', 'title': 'Lounges'}]"
6483,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}]"
6502,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
6514,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
6540,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'catering', 'title': 'Caterers'}]"
6548,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]"
6568,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
